Auf allen Autobahnen soll ein generelles Tempolimit gelten.,ich stimme zu (I agree)
Deutschland soll seine Verteidigungsausgaben erhöhen.,ich stimme nicht zu (I disagree)
Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,neutral
Die Förderung von Windenergie soll beendet werden.,ich stimme nicht zu (I disagree)
"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",ich stimme zu (I agree)
Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,ich stimme nicht zu (I disagree)
Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,neutral
Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,ich stimme nicht zu (I disagree)
Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,ich stimme zu (I agree)
"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",ich stimme nicht zu (I disagree)
"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",ich stimme zu (I agree)
Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,ich stimme nicht zu (I disagree)
Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,ich stimme zu (I agree)
"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",ich stimme nicht zu (I disagree)
